date,code,open,high,low,close,preclose,volume,amount,pctChg
2014-07-04,sh.000001,2062.3580,2065.0780,2054.2170,2059.3750,2063.2290,10500879104,83596435456.0000,-0.186795
2014-07-07,sh.000001,2058.1280,2064.0430,2050.8870,2059.9270,2059.3750,9716875264,81471315968.0000,0.026804
2014-07-08,sh.000001,2058.1340,2064.4330,2047.2040,2064.0210,2059.9270,9505339392,81584447488.0000,0.198745
2014-07-09,sh.000001,2061.6350,2062.4740,2037.6010,2038.6120,2064.0210,11330584064,97183494144.0000,-1.231040
2014-07-10,sh.000001,2036.5400,2045.5270,2034.9560,2038.3420,2038.6120,9794381824,84748632064.0000,-0.013245
2014-07-11,sh.000001,2033.8690,2051.7370,2033.0040,2046.9610,2038.3420,10508808448,86253719552.0000,0.422845
2014-07-14,sh.000001,2047.7440,2067.3420,2044.9010,2066.6460,2046.9610,11511974144,96357015552.0000,0.961666
2014-07-15,sh.000001,2065.9000,2070.3580,2059.6790,2070.3570,2066.6460,12448876800,102893916160.0000,0.179563
2014-07-16,sh.000001,2068.3430,2075.4930,2061.5720,2067.2760,2070.3570,13712802048,102029807616.0000,-0.148818
2014-07-17,sh.000001,2062.8880,2062.8880,2046.1890,2055.5910,2067.2760,10449181184,79106281472.0000,-0.565228
2014-07-18,sh.000001,2047.4980,2067.2330,2045.9960,2059.0670,2055.5910,10664109312,82510266368.0000,0.169092
2014-07-21,sh.000001,2057.7670,2061.8230,2049.1750,2054.4790,2059.0670,9385786880,75706179584.0000,-0.222814
2014-07-22,sh.000001,2050.5000,2078.0850,2049.8150,2075.4810,2054.4790,12319186944,98702438400.0000,1.022252
2014-07-23,sh.000001,2074.1950,2088.1920,2072.2290,2078.4890,2075.4810,13729221120,106702131200.0000,0.144933
2014-07-24,sh.000001,2079.6320,2107.9460,2079.6320,2105.0620,2078.4890,16567699712,128677982208.0000,1.278477
2014-07-25,sh.000001,2108.7140,2127.2170,2106.7140,2126.6140,2105.0620,14249582592,111411572736.0000,1.023818
2014-07-28,sh.000001,2135.2490,2181.4960,2135.2490,2177.9480,2126.6140,23618575104,180414431232.0000,2.413883
2014-07-29,sh.000001,2179.8260,2193.5230,2172.1020,2183.1920,2177.9480,20026425600,159282499584.0000,0.240772
2014-07-30,sh.000001,2178.1790,2194.5720,2177.2440,2181.2430,2183.1920,18492218624,149566550016.0000,-0.089272
2014-07-31,sh.000001,2179.5430,2202.1260,2173.9000,2201.5620,2181.2430,16469165312,132438450176.0000,0.931537
