日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-11-18,002821,7.41,10.03,10.03,7.41,84,368166.0,50.1,91.78,4.8,0.04
2016-11-21,002821,11.6,11.6,11.6,11.6,75,362022.0,0.0,15.65,1.57,0.03
2016-11-22,002821,13.33,13.33,13.33,13.33,20,106400.0,0.0,14.91,1.73,0.01
2016-11-23,002821,15.23,15.23,15.23,15.23,29,169708.0,0.0,14.25,1.9,0.01
2016-11-24,002821,17.32,17.32,17.32,17.32,16,104215.0,0.0,13.72,2.09,0.01
2016-11-25,002821,19.62,19.62,19.62,19.62,122,863386.0,0.0,13.28,2.3,0.05
2016-11-28,002821,22.15,22.15,22.15,22.15,107,836850.0,0.0,12.9,2.53,0.05
2016-11-29,002821,24.93,24.93,24.93,24.93,103,878477.0,0.0,12.55,2.78,0.04
2016-11-30,002821,27.99,27.99,27.99,27.99,316,2980656.0,0.0,12.27,3.06,0.14
2016-12-01,002821,31.36,31.36,31.36,31.36,289,2996352.0,0.0,12.04,3.37,0.13
2016-12-02,002821,35.06,35.06,35.06,35.06,439,5002347.0,0.0,11.8,3.7,0.19
2016-12-05,002821,39.14,39.14,39.14,39.14,1436,18013170.0,0.0,11.64,4.08,0.63
2016-12-06,002821,43.62,43.62,43.62,42.9,46869,646477776.0,1.84,11.45,4.48,20.5
2016-12-07,002821,44.69,44.51,45.61,42.9,134982,1884836352.0,6.21,2.04,0.89,59.04
2016-12-08,002821,43.61,42.47,45.04,42.47,73390,1015526080.0,5.77,-4.58,-2.04,32.1
2016-12-09,002821,42.47,39.38,42.76,38.97,73435,950832000.0,8.92,-7.28,-3.09,32.12
2016-12-12,002821,39.81,39.39,40.58,38.33,52912,670136976.0,5.71,0.03,0.01,23.14
2016-12-13,002821,39.03,39.61,40.95,38.9,47346,606133904.0,5.2,0.56,0.22,20.71
2016-12-14,002821,38.79,38.35,39.83,37.23,39742,492387712.0,6.56,-3.18,-1.26,17.38
2016-12-15,002821,38.28,40.41,41.79,38.08,41904,539040000.0,9.67,5.37,2.06,18.33
2016-12-16,002821,40.22,40.11,40.52,39.04,27653,352319424.0,3.66,-0.74,-0.3,12.09
2016-12-19,002821,39.86,41.29,42.05,39.42,34492,452455408.0,6.56,2.94,1.18,15.09
2016-12-20,002821,41.11,41.15,42.47,40.36,29655,390495936.0,5.11,-0.34,-0.14,12.97
2016-12-21,002821,41.05,40.4,41.29,39.47,24591,316567136.0,4.42,-1.82,-0.75,10.76
2016-12-22,002821,40.28,41.46,42.18,40.07,29713,392370576.0,5.22,2.62,1.06,13.0
2016-12-23,002821,41.43,40.22,41.75,39.69,25984,335335872.0,4.97,-2.99,-1.24,11.36
2016-12-26,002821,38.98,41.72,42.15,38.69,31846,415262544.0,8.6,3.73,1.5,13.93
2016-12-27,002821,41.69,42.26,42.52,41.0,24940,331035104.0,3.64,1.29,0.54,10.91
2016-12-28,002821,42.0,43.83,45.04,41.83,36501,503310128.0,7.6,3.72,1.57,15.96
2016-12-29,002821,43.61,44.01,45.22,43.44,30936,431976896.0,4.06,0.41,0.18,13.53
2016-12-30,002821,43.65,45.58,46.76,43.3,33432,475039552.0,7.86,3.57,1.57,14.62
2017-01-03,002821,45.58,45.46,46.28,44.97,24043,344045600.0,2.87,-0.26,-0.12,10.52
2017-01-04,002821,45.36,44.61,46.1,43.98,32297,456218672.0,4.66,-1.87,-0.85,14.13
2017-01-05,002821,44.33,43.97,45.58,43.74,27127,381664384.0,4.12,-1.43,-0.64,11.86
2017-01-06,002821,43.72,39.19,43.92,39.01,52292,685353760.0,11.17,-10.87,-4.78,22.87
2017-01-09,002821,37.9,37.97,38.94,37.47,23428,287376896.0,3.75,-3.11,-1.22,10.25
2017-01-10,002821,38.05,37.4,38.77,37.29,16938,207202394.0,3.9,-1.5,-0.57,7.41
2017-01-11,002821,37.11,37.13,37.65,35.99,23798,283391440.0,4.44,-0.72,-0.27,10.41
2017-01-12,002821,37.2,37.24,38.35,37.01,13704,166159691.0,3.61,0.3,0.11,5.99
2017-01-13,002821,37.21,37.21,38.35,36.11,18938,227802924.0,6.02,-0.08,-0.03,8.28
2017-01-16,002821,36.23,37.22,37.85,34.33,22212,263514266.0,9.46,0.03,0.01,9.71
2017-01-17,002821,36.85,38.39,38.54,35.4,25323,304012928.0,8.44,3.14,1.17,11.08
2017-01-18,002821,38.01,38.31,39.39,37.76,17901,222224178.0,4.25,-0.21,-0.08,7.83
2017-01-19,002821,37.29,36.69,38.26,36.26,20527,245880156.0,5.22,-4.23,-1.62,8.98
2017-01-20,002821,35.86,38.49,38.83,35.86,20740,253464513.0,8.09,4.91,1.8,9.07
2017-01-23,002821,38.61,38.89,39.54,38.29,16418,204989357.0,3.25,1.04,0.4,7.18
2017-01-24,002821,39.21,40.43,41.1,38.89,24545,314594832.0,5.68,3.96,1.54,10.74
2017-01-25,002821,40.17,41.32,41.46,39.69,17493,227011061.0,4.38,2.2,0.89,7.65
2017-01-26,002821,41.14,41.16,42.15,40.63,16762,220012717.0,3.68,-0.39,-0.16,7.33
2017-02-03,002821,40.4,37.32,40.51,37.25,27246,340561232.0,7.92,-9.33,-3.84,11.92
2017-02-06,002821,37.27,38.04,38.13,36.51,17413,210906077.0,4.34,1.93,0.72,7.62
2017-02-07,002821,37.83,36.64,37.86,36.47,17317,207238021.0,3.65,-3.68,-1.4,7.57
2017-02-08,002821,36.39,37.79,37.96,36.38,15709,189575979.0,4.31,3.14,1.15,6.87
2017-02-09,002821,37.55,37.56,38.6,37.26,15905,194093200.0,3.55,-0.61,-0.23,6.96
