updateDate,code,code_name
2012-02-20,sh.601377,兴业证券
2012-02-20,sh.601390,中国中铁
2012-02-20,sh.601398,工商银行
2012-02-20,sh.601519,大智慧
2012-02-20,sh.601558,ST锐电
2012-02-20,sh.601600,中国铝业
2012-02-20,sh.601601,中国太保
2012-02-20,sh.601607,上海医药
2012-02-20,sh.601618,中国中冶
2012-02-20,sh.601628,中国人寿
2012-02-20,sh.601666,平煤股份
2012-02-20,sh.601668,中国建筑
2012-02-20,sh.601688,华泰证券
2012-02-20,sh.601699,潞安环能
2012-02-20,sh.601717,郑煤机
2012-02-20,sh.601718,际华集团
2012-02-20,sh.601727,上海电气
2012-02-20,sh.601766,中国中车
2012-02-20,sh.601788,光大证券
2012-02-20,sh.601808,中海油服
2012-02-20,sh.601818,光大银行
2012-02-20,sh.601857,中国石油
2012-02-20,sh.601866,中远海发
2012-02-20,sh.601888,中国国旅
2012-02-20,sh.601898,中煤能源
2012-02-20,sh.601899,紫金矿业
2012-02-20,sh.601918,新集能源
2012-02-20,sh.601919,中远海控
2012-02-20,sh.601933,永辉超市
2012-02-20,sh.601939,建设银行
2012-02-20,sh.601958,金钼股份
2012-02-20,sh.601988,中国银行
2012-02-20,sh.601989,中国重工
2012-02-20,sh.601991,大唐发电
2012-02-20,sh.601992,金隅集团
2012-02-20,sh.601998,中信银行
2012-02-20,sz.000001,平安银行
2012-02-20,sz.000002,万科A
2012-02-20,sz.000009,中国宝安
2012-02-20,sz.000012,南玻A
2012-02-20,sz.000021,深科技
2012-02-20,sz.000024,招商地产
2012-02-20,sz.000027,深圳能源
2012-02-20,sz.000039,中集集团
2012-02-20,sz.000059,华锦股份
2012-02-20,sz.000060,中金岭南
2012-02-20,sz.000061,农产品
2012-02-20,sz.000063,中兴通讯
2012-02-20,sz.000069,华侨城A
2012-02-20,sz.000100,TCL集团
2012-02-20,sz.000157,中联重科
2012-02-20,sz.000338,潍柴动力
2012-02-20,sz.000401,冀东水泥
2012-02-20,sz.000402,金融街
2012-02-20,sz.000422,*ST宜化
2012-02-20,sz.000423,东阿阿胶
2012-02-20,sz.000425,徐工机械
2012-02-20,sz.000527,美的电器
2012-02-20,sz.000528,柳工
2012-02-20,sz.000538,云南白药
2012-02-20,sz.000559,万向钱潮
2012-02-20,sz.000562,宏源证券
2012-02-20,sz.000568,泸州老窖
2012-02-20,sz.000581,威孚高科
2012-02-20,sz.000623,吉林敖东
2012-02-20,sz.000625,长安汽车
2012-02-20,sz.000629,攀钢钒钛
2012-02-20,sz.000630,铜陵有色
2012-02-20,sz.000651,格力电器
2012-02-20,sz.000680,山推股份
2012-02-20,sz.000686,东北证券
2012-02-20,sz.000709,河钢股份
2012-02-20,sz.000718,苏宁环球
2012-02-20,sz.000728,国元证券
2012-02-20,sz.000729,燕京啤酒
2012-02-20,sz.000758,中色股份
2012-02-20,sz.000768,中航飞机
2012-02-20,sz.000776,广发证券
2012-02-20,sz.000778,新兴铸管
2012-02-20,sz.000780,平庄能源
2012-02-20,sz.000783,长江证券
2012-02-20,sz.000792,盐湖股份
2012-02-20,sz.000800,一汽轿车
2012-02-20,sz.000807,云铝股份
2012-02-20,sz.000825,太钢不锈
2012-02-20,sz.000839,中信国安
2012-02-20,sz.000858,五粮液
2012-02-20,sz.000869,张裕A
2012-02-20,sz.000876,新希望
2012-02-20,sz.000878,云南铜业
2012-02-20,sz.000895,双汇发展
2012-02-20,sz.000898,鞍钢股份
2012-02-20,sz.000933,神火股份
2012-02-20,sz.000937,冀中能源
2012-02-20,sz.000960,锡业股份
2012-02-20,sz.000961,中南建设
2012-02-20,sz.000968,蓝焰控股
2012-02-20,sz.000969,安泰科技
2012-02-20,sz.000983,西山煤电
2012-02-20,sz.000999,华润三九
2012-02-20,sz.002001,新和成
2012-02-20,sz.002007,华兰生物
2012-02-20,sz.002024,苏宁易购
2012-02-20,sz.002038,双鹭药业
2012-02-20,sz.002069,獐子岛
2012-02-20,sz.002073,软控股份
2012-02-20,sz.002092,中泰化学
2012-02-20,sz.002106,莱宝高科
2012-02-20,sz.002122,*ST天马
2012-02-20,sz.002128,露天煤业
2012-02-20,sz.002142,宁波银行
2012-02-20,sz.002146,荣盛发展
2012-02-20,sz.002155,湖南黄金
2012-02-20,sz.002202,金风科技
2012-02-20,sz.002244,滨江集团
2012-02-20,sz.002299,圣农发展
2012-02-20,sz.002304,洋河股份
2012-02-20,sz.002310,东方园林
2012-02-20,sz.002344,海宁皮城
2012-02-20,sz.002378,章源钨业
2012-02-20,sz.002385,大北农
2012-02-20,sz.002399,海普瑞
2012-02-20,sz.002405,四维图新
2012-02-20,sz.002415,海康威视
2012-02-20,sz.002422,科伦药业
2012-02-20,sz.002431,棕榈股份
2012-02-20,sz.002493,荣盛石化
2012-02-20,sz.002498,汉缆股份
2012-02-20,sz.002500,山西证券
2012-02-20,sz.002594,比亚迪
2012-02-20,sz.002603,以岭药业
