trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
2001-03-13,89.9231,,2.4178,2.7135,3.375,0.0,,268117.2
2001-03-14,91.2573,,2.4537,2.7537,3.4251,0.0,,272095.2
2001-03-15,92.8583,,2.4967,2.8021,3.4852,0.0,,276868.8
2001-03-16,92.3246,,2.4824,2.786,3.4652,0.0,,275277.6
2001-03-19,93.5254,,2.5147,2.8222,3.5102,0.0,,278857.8
2001-03-20,96.0603,,2.5828,2.8987,3.6054,0.0,,286416.0
2001-03-21,95.3932,,2.5649,2.8785,3.5803,0.0,,284427.0
2001-03-22,94.4593,,2.5398,2.8504,3.5453,0.0,,281642.4
2001-03-23,92.458,,2.486,2.79,3.4702,0.0,,275675.4
2001-03-26,94.3259,,2.5362,2.8463,3.5403,0.0,,281244.6
2001-03-27,93.9256,,2.5254,2.8343,3.5253,0.0,,280051.2
2001-03-28,93.9256,,2.5254,2.8343,3.5253,0.0,,280051.2
2001-03-29,95.2598,,2.5613,2.8745,3.5753,0.0,,284029.2
2001-03-30,94.7261,,2.5469,2.8584,3.5553,0.0,,282438.0
2001-04-02,94.3259,,2.5362,2.8463,3.5403,0.0,,281244.6
2001-04-03,96.1937,,2.5864,2.9027,3.6104,0.0,,286813.8
2001-04-04,93.7922,,2.5218,2.8302,3.5203,0.0,,279653.4
2001-04-05,94.7261,,2.5469,2.8584,3.5553,0.0,,282438.0
2001-04-06,95.7935,,2.5756,2.8906,3.5954,0.0,,285620.4
2001-04-09,97.9281,,2.633,2.955,3.6755,0.0,,291985.2
2001-04-10,97.7947,,2.6294,2.951,3.6705,0.0,,291587.4
2001-04-11,96.9942,,2.6079,2.9269,3.6404,0.0,,289200.6
2001-04-12,95.7935,,2.5756,2.8906,3.5954,0.0,,285620.4
2001-04-13,95.6601,,2.5721,2.8866,3.5904,0.0,,285222.6
2001-04-16,95.2598,,2.5613,2.8745,3.5753,0.0,,284029.2
2001-04-17,,,2.8038,5.5485,5.5485,0.0,,283233.6
2001-04-18,,,2.8077,5.5563,5.5563,0.0,,283631.4
2001-04-19,,,2.7802,5.5018,5.5018,0.0,,280846.8
2001-04-20,,,2.8629,5.6654,5.6654,0.0,,289200.6
2001-04-23,,,2.8392,5.6187,5.6187,0.0,,286813.8
2001-04-24,,,2.8117,5.5641,5.5641,0.0,,284029.2
2001-04-25,,,2.7565,5.455,5.455,0.0,,278460.0
2001-04-26,,,2.7171,5.3771,5.3771,0.0,,274482.0
2001-04-27,,,2.725,5.3927,5.3927,0.0,,275277.6
2001-04-30,,,2.7526,5.4472,5.4472,0.0,,278062.2
2001-05-08,,,2.7565,5.455,5.455,0.0,,278460.0
2001-05-09,,,2.792,5.5252,5.5252,0.0,,282040.2
2001-05-10,,,2.7998,5.5408,5.5408,0.0,,282835.8
2001-05-11,,,2.8195,5.5797,5.5797,0.0,,284824.8
2001-05-14,,,2.855,5.6499,5.6499,0.0,,288405.0
2001-05-15,,,2.855,5.6499,5.6499,0.0,,288405.0
2001-05-16,,,2.9298,5.7979,5.7979,0.0,,295963.2
2001-05-17,,,2.8944,5.7278,5.7278,0.0,,292383.0
2001-05-21,,,2.918,5.7745,5.7745,0.0,,294769.8
2001-05-22,,,2.8825,5.7044,5.7044,0.0,,291189.6
2001-05-23,,,2.9298,5.7979,5.7979,0.0,,295963.2
2001-05-24,,,2.9534,5.8447,5.8447,0.0,,298350.0
2001-05-25,,,2.914,5.7667,5.7667,0.0,,294372.0
2001-05-28,,,2.855,5.6499,5.6499,0.0,,288405.0
2001-05-29,,,2.8904,5.72,5.72,0.0,,291985.2
2001-05-30,,,2.8944,5.7278,5.7278,0.0,,292383.0
2001-05-31,,,2.8865,5.7122,5.7122,0.0,,291587.4
2001-06-01,,,2.9455,5.8291,5.8291,0.0,,297554.4
2001-06-04,,,3.0164,5.9694,5.9694,0.0,,304714.8
2001-06-05,,,2.9967,5.9304,5.9304,0.0,,302725.8
2001-06-06,,,3.0716,6.0785,6.0785,0.0,,310284.0
2001-06-07,,,3.0479,6.0317,6.0317,0.0,,307897.2
2001-06-08,,,3.0086,5.9538,5.9538,0.0,,303919.2
2001-06-11,,,3.0479,6.0317,6.0317,0.0,,307897.2
2001-06-12,,,3.0558,6.0473,6.0473,0.0,,308692.8
2001-06-13,,,3.0597,6.0551,6.0551,0.0,,309090.6
2001-06-14,,,3.0007,5.9382,5.9382,0.0,,303123.6
2001-06-15,,,3.0125,5.9616,5.9616,0.0,,304317.0
2001-06-18,,,2.9967,5.9304,5.9304,0.0,,302725.8
2001-06-19,,,2.9534,5.8447,5.8447,0.0,,298350.0
2001-06-20,,,2.9416,5.8213,5.8213,0.0,,297156.6
