trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
2000-07-17,37.0716,37.0716,8.5896,2.863,2.863,0.0,,696216.4326
2000-07-18,37.5967,37.5967,8.7112,2.9036,2.9036,0.0,,706076.3034
2000-07-19,37.305,37.305,8.6436,2.881,2.881,0.0,,700598.5974
2000-07-20,36.43,36.43,8.4409,2.8135,2.8135,0.0,,684165.4794
2000-07-21,36.4008,36.4008,8.4341,2.8112,2.8112,0.0,,683617.7088
2000-07-24,35.4966,35.4966,8.2246,2.7414,2.7414,0.0,,666636.8202
2000-07-25,35.8466,27.7442,7.4341,2.7684,1.2289,0.0,,673210.0674
2000-07-26,36.3425,28.128,7.5369,2.8067,1.2459,0.0,,682522.1676
2000-07-27,35.5258,27.4959,7.3675,2.7436,1.2179,0.0,,667184.5908
2000-07-28,35.5258,27.4959,7.3675,2.7436,1.2179,0.0,,667184.5908
2000-07-31,35.5549,27.5185,7.3736,2.7459,1.2189,0.0,,667732.3614
2000-08-01,35.7299,27.6539,7.4099,2.7594,1.2249,0.0,,671018.985
2000-08-02,35.3799,27.383,7.3373,2.7324,1.2129,0.0,,664445.7378
2000-08-03,35.2633,27.2928,7.3131,2.7234,1.2089,0.0,,662254.6554
2000-08-04,35.0883,27.1573,7.2768,2.7098,1.2029,0.0,,658968.0318
2000-08-07,34.6799,26.8413,7.1921,2.6783,1.1889,0.0,,651299.2434
2000-08-08,35.2633,27.2928,7.3131,2.7234,1.2089,0.0,,662254.6554
2000-08-09,34.9716,27.067,7.2526,2.7008,1.1989,0.0,,656776.9494
2000-08-10,35.5841,27.5411,7.3796,2.7481,1.2199,0.0,,668280.132
2000-08-11,35.0008,27.0896,7.2586,2.7031,1.1999,0.0,,657324.72
2000-08-14,35.1174,27.1799,7.2828,2.7121,1.2039,0.0,,659515.8024
2000-08-15,35.3508,27.3605,7.3312,2.7301,1.2119,0.0,,663897.9672
2000-08-16,35.7299,27.6539,7.4099,2.7594,1.2249,0.0,,671018.985
2000-08-17,35.2924,27.3153,7.3191,2.7256,1.2099,0.0,,662802.426
2000-08-18,35.0591,27.1347,7.2707,2.7076,1.2019,0.0,,658420.2612
2000-08-21,34.8549,26.9767,7.2284,2.6918,1.1949,0.0,,654585.867
2000-08-22,34.7966,26.9316,7.2163,2.6873,1.1929,0.0,,653490.3258
2000-08-23,35.3799,27.383,7.3373,2.7324,1.2129,0.0,,664445.7378
2000-08-24,35.5549,27.5185,7.3736,2.7459,1.2189,0.0,,667732.3614
2000-08-25,36.08,27.9248,7.4824,2.7864,1.2369,0.0,,677592.2322
2000-08-28,36.1091,27.9474,7.4885,2.7887,1.2379,0.0,,678140.0028
2000-08-29,36.3716,28.1506,7.5429,2.809,1.2469,0.0,,683069.9382
2000-08-30,35.3799,27.383,7.3373,2.7324,1.2129,0.0,,664445.7378
2000-08-31,34.1257,26.4123,7.0772,2.6355,1.1699,0.0,,640891.602
2000-09-01,33.7466,26.1189,6.9985,2.6062,1.1569,0.0,,633770.5842
2000-09-04,33.9216,26.2543,7.0348,2.6197,1.1629,0.0,,637057.2078
2000-09-05,32.7257,25.3288,6.7868,2.5274,1.1219,0.0,,614598.6132
2000-09-06,33.0757,25.5997,6.8594,2.5544,1.1339,0.0,,621171.8604
2000-09-07,33.6591,26.0511,6.9804,2.5995,1.1539,0.0,,632127.2724
2000-09-08,33.5132,25.9383,6.9501,2.5882,1.1489,0.0,,629388.4194
2000-09-11,34.4174,26.6381,7.1377,2.658,1.1799,0.0,,646369.308
2000-09-12,33.9799,26.2995,7.0469,2.6242,1.1649,0.0,,638152.749
2000-09-13,33.8341,26.1866,7.0167,2.613,1.1599,0.0,,635413.896
2000-09-14,33.1924,25.6899,6.8836,2.5634,1.1379,0.0,,623362.9428
2000-09-15,33.0757,25.5997,6.8594,2.5544,1.1339,0.0,,621171.8604
2000-09-18,32.434,25.103,6.7263,2.5049,1.1119,0.0,,609120.9072
2000-09-19,31.3549,24.2677,6.5025,2.4215,1.0749,0.0,,588853.395
2000-09-20,31.6174,24.4709,6.557,2.4418,1.0839,0.0,,593783.3304
2000-09-21,30.859,23.884,6.3997,2.3832,1.0579,0.0,,579541.2948
2000-09-22,30.6548,23.726,6.3574,2.3674,1.0509,0.0,,575706.9006
2000-09-25,30.1007,23.297,6.2424,2.3246,1.0319,0.0,,565299.2592
2000-09-26,30.159,23.3422,6.2545,2.3292,1.0339,0.0,,566394.8004
2000-09-27,30.6257,23.7034,6.3513,2.3652,1.0499,0.0,,575159.13
2000-09-28,30.159,23.3422,6.2545,2.3292,1.0339,0.0,,566394.8004
2000-09-29,30.6257,23.7034,6.3513,2.3652,1.0499,0.0,,575159.13
2000-10-09,30.3048,23.4551,6.2848,2.3404,1.0389,0.0,,569133.6534
