trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
2007-06-26,119.4561,119.4561,4.6072,4.0361,4.0361,,,14609874.3877
2007-06-27,131.4163,131.4163,5.0685,4.4402,4.4402,,,16072645.6939
2007-06-28,136.5942,136.5942,5.2682,4.6151,4.6151,,,16705918.6374
2007-06-29,133.1666,133.1666,5.136,4.4993,4.4993,,,16286709.7875
2007-07-02,125.2174,125.2174,4.7379,4.2308,4.2308,,,15314502.0291
2007-07-03,129.666,129.666,4.9063,4.3811,4.3811,,,15858581.6003
2007-07-04,125.0716,125.0716,4.7324,4.2258,4.2258,,,15296663.3546
2007-07-05,124.0506,124.0506,4.6938,4.1913,4.1913,,,15171792.6333
2007-07-06,128.4992,128.4992,4.8621,4.3416,4.3416,,,15715872.2045
2007-07-09,131.1246,131.1246,4.9615,4.4303,4.4303,,,16036968.3449
2007-07-10,124.3423,124.3423,4.7048,4.2012,4.2012,,,15207469.9823
2007-07-11,124.4152,124.4152,4.7076,4.2036,4.2036,,,15216389.3195
2007-07-12,124.3423,124.3423,4.7048,4.2012,4.2012,,,15207469.9823
2007-07-13,123.1754,123.1754,4.6607,4.1618,4.1618,,,15064760.5865
2007-07-16,123.9047,123.9047,4.6883,4.1864,4.1864,,,15153953.9589
2007-07-17,125.2174,125.2174,4.7379,4.2308,4.2308,,,15314502.0291
2007-07-18,130.5412,130.5412,4.9394,4.4106,4.4106,,,15965613.6471
2007-07-19,129.8119,129.8119,4.9118,4.386,4.386,,,15876420.2747
2007-07-20,133.75,133.75,5.0608,4.519,4.519,,,16358064.4853
2007-07-23,141.4074,141.4074,5.3505,4.7778,4.7778,,,17294594.8948
2007-07-24,152.4925,152.4925,5.77,5.1523,5.1523,,,18650334.1542
2007-07-25,158.2538,158.2538,5.988,5.347,5.347,,,19354961.7956
2007-09-04,174.0792,174.0792,6.5868,5.8817,5.8817,,,21290457.9752
2007-09-05,191.509,191.509,7.2463,6.4706,6.4706,,,23422179.5739
2007-09-06,210.6891,210.6891,7.972,7.1186,7.1186,,,25767965.2661
2007-09-07,231.7653,231.7653,8.7695,7.8307,7.8307,,,28345653.7265
2007-09-10,254.9564,254.9564,9.647,8.6143,8.6143,,,31182002.9666
2007-09-11,280.4812,280.4812,10.6128,9.4767,9.4767,,,34303770.9981
2007-09-12,282.2314,282.2314,10.679,9.5358,9.5358,,,34517835.0917
2007-09-13,282.1585,282.1585,10.6763,9.5334,9.5334,,,34508915.7545
2007-09-14,278.4392,278.4392,10.5355,9.4077,9.4077,,,34054029.5556
2007-09-17,306.2977,306.2977,11.5896,10.349,10.349,,,37461216.3786
2007-09-18,318.6955,318.6955,12.0587,10.7678,10.7678,,,38977503.7082
2007-09-19,299.1507,299.1507,11.3192,10.1075,10.1075,,,36587121.3298
2007-09-20,312.1319,312.1319,11.8104,10.5461,10.5461,,,38174763.3572
2007-09-21,293.8999,293.8999,11.1205,9.9301,9.9301,,,35944929.049
2007-09-24,286.1696,286.1696,10.828,9.6689,9.6689,,,34999479.3023
2007-09-25,301.3386,301.3386,11.402,10.1814,10.1814,,,36854701.4468
2007-09-26,298.5673,298.5673,11.2971,10.0878,10.0878,,,36515766.6319
2007-09-27,298.7132,298.7132,11.3026,10.0927,10.0927,,,36533605.3064
2007-09-28,328.6137,328.6137,12.434,11.103,11.103,,,40190533.5719
2007-10-08,361.2125,361.2125,13.6675,12.2044,12.2044,,,44177477.315
2007-10-09,363.1815,363.1815,13.742,12.2709,12.2709,,,44418299.4203
2007-10-10,379.0799,379.0799,14.3435,12.8081,12.8081,,,46362714.9371
2007-10-11,408.4698,408.4698,15.4556,13.8011,13.8011,,,49957207.842
2007-10-12,403.5107,403.5107,15.268,13.6335,13.6335,,,49350692.9102
2007-10-15,406.282,406.282,15.3728,13.7272,13.7272,,,49689627.725
2007-10-16,393.6655,393.6655,14.8954,13.3009,13.3009,,,48146582.3837
2007-10-17,395.2699,395.2699,14.9561,13.3551,13.3551,,,48342807.8029
2007-10-18,400.0831,400.0831,15.1383,13.5177,13.5177,,,48931484.0602
2007-10-19,440.1206,440.1206,16.6532,14.8705,14.8705,,,53828200.2012
2007-10-22,416.3461,416.3461,15.7536,14.0672,14.0672,,,50920496.2632
2007-10-24,457.988,457.988,17.3292,15.4742,15.4742,,,56013437.8232
2007-10-25,463.9681,463.9681,17.5555,15.6762,15.6762,,,56744823.4763
2007-10-26,417.5858,417.5858,15.8005,14.1091,14.1091,,,51072124.9962
2007-10-29,411.1682,411.1682,15.5577,13.8922,13.8922,,,50287223.3197
2007-10-30,426.1914,426.1914,16.1261,14.3998,14.3998,,,52124606.7897
2007-10-31,424.8057,424.8057,15.7434,14.353,14.353,,,51955139.3822
2007-11-01,394.3218,394.3218,14.6137,13.3231,13.3231,,,48226856.4188
2007-11-02,372.7351,372.7351,13.8137,12.5937,12.5937,,,45586732.5979
2007-11-05,373.3915,373.3915,13.838,12.6159,12.6159,,,45667006.633
2007-11-06,345.533,345.533,12.8055,11.6746,11.6746,,,42259819.81
2007-11-07,355.7429,355.7429,13.1839,12.0196,12.0196,,,43508527.0226
2007-11-08,345.6059,345.6059,12.8082,11.6771,11.6771,,,42268739.1472
2007-11-09,345.3142,345.3142,12.7974,11.6672,11.6672,,,42233061.7983
2007-11-12,323.4358,323.4358,11.9866,10.928,10.928,,,39557260.6284
2007-11-13,320.5916,320.5916,11.8812,10.8319,10.8319,,,39209406.4763
2007-11-14,352.5341,352.5341,13.065,11.9112,11.9112,,,43116076.1843
2007-11-15,346.1164,346.1164,12.8272,11.6943,11.6943,,,42331174.5078
2007-11-16,337.0733,337.0733,12.492,11.3888,11.3888,,,41225176.6909
2007-11-19,327.9573,327.9573,12.1542,11.0808,11.0808,,,40110259.5368
2007-11-20,344.512,344.512,12.7677,11.6401,11.6401,,,42134949.0887
2007-11-21,332.1142,332.1142,12.3082,11.2212,11.2212,,,40618661.7591
2007-11-22,315.2678,315.2678,11.6839,10.652,10.652,,,38558294.8583
2007-11-23,306.1518,306.1518,11.3461,10.344,10.344,,,37443377.7041
2007-11-26,307.2458,307.2458,11.3866,10.381,10.381,,,37577167.7626
2007-11-27,295.7231,295.7231,10.9596,9.9917,9.9917,,,36167912.4798
2007-11-28,306.5165,306.5165,11.3596,10.3564,10.3564,,,37487974.3903
2007-11-30,302.3596,302.3596,11.2055,10.2159,10.2159,,,36979572.168
2007-12-03,292.4414,292.4414,10.838,9.8808,9.8808,,,35766542.3043
2007-12-04,293.3894,293.3894,10.8731,9.9128,9.9128,,,35882493.6884
2007-12-05,299.88,299.88,11.1136,10.1321,10.1321,,,36676314.7021
2007-12-06,301.7032,301.7032,11.1812,10.1937,10.1937,,,36899298.1329
2007-12-07,314.5386,314.5386,11.6569,10.6274,10.6274,,,38469101.4859
2007-12-10,325.9153,325.9153,12.0785,11.0118,11.0118,,,39860518.0943
2007-12-11,324.8214,324.8214,12.038,10.9748,10.9748,,,39726728.0358
2007-12-12,310.7463,310.7463,11.5163,10.4993,10.4993,,,38005295.9498
2007-12-13,292.2955,292.2955,10.8326,9.8759,9.8759,,,35748703.6299
2007-12-14,288.8679,288.8679,10.7055,9.7601,9.7601,,,35329494.7799
2007-12-17,270.49,270.49,10.0244,9.1391,9.1391,,,33081821.7972
2007-12-18,279.3872,279.3872,10.3542,9.4397,9.4397,,,34169980.9396
2007-12-19,289.9618,289.9618,10.7461,9.797,9.797,,,35463284.8384
2007-12-20,303.964,303.964,11.265,10.2701,10.2701,,,37175797.5871
2007-12-21,335.6575,335.6575,8.3811,11.3409,11.3409,,,41052019.3778
2007-12-24,351.2565,351.2565,8.7706,11.868,11.868,,,42959822.9476
2007-12-25,344.0569,344.0569,8.5908,11.6247,11.6247,,,42079298.2231
2007-12-26,341.6571,341.6571,8.5309,11.5437,11.5437,,,41785789.9816
2007-12-27,347.8167,347.8167,8.6847,11.7518,11.7518,,,42539127.8014
2007-12-28,341.2571,341.2571,8.5209,11.5301,11.5301,,,41736871.9413
2008-01-02,24.3077,379.3201,7.5159,4.9416,12.8162,0.0,,46392101.8551
2008-01-03,24.5807,383.5803,7.6003,4.9971,12.9601,0.0,,46913131.8473
2008-01-04,25.8172,402.8762,7.9827,5.2485,13.6121,0.0,,49273091.2238
2008-01-07,25.3943,396.2772,7.8519,5.1626,13.3891,0.0,,48466005.5496
2008-01-08,25.5924,399.3679,7.9131,5.2028,13.4935,0.0,,48844007.7008
2008-01-09,25.2016,393.27,7.7923,5.1234,13.2875,0.0,,48098219.6728
2008-01-10,25.9564,405.0481,8.0257,5.2768,13.6855,0.0,,49538714.3571
2008-01-11,25.2926,394.6901,7.8205,5.1419,13.3355,0.0,,48271896.3368
2008-01-14,24.6021,383.9144,7.6069,5.0015,12.9714,0.0,,46953996.9448
2008-01-15,24.9715,389.6781,7.7212,5.0766,13.1662,0.0,,47658919.8754
2008-01-16,23.4298,365.6208,7.2445,4.7632,12.3533,0.0,,44716632.8606
2008-01-17,21.5777,336.7187,6.6718,4.3866,11.3768,0.0,,41181801.9331
2008-01-18,21.4867,335.2986,6.6437,4.3681,11.3288,0.0,,41008125.269
2008-01-21,19.7952,308.9024,6.1206,4.0243,10.437,0.0,,37779782.5722
2008-01-22,18.6603,291.1936,5.7698,3.7936,9.8386,0.0,,35613932.4085
2008-01-23,19.2438,300.2986,5.9502,3.9122,10.1463,0.0,,36727506.3134
2008-01-24,19.4205,303.0552,6.0048,3.9481,10.2394,0.0,,37064643.3672
2008-01-25,19.3937,302.6375,5.9965,3.9426,10.2253,0.0,,37013561.9954
2008-01-28,17.4559,272.3988,5.3974,3.5487,9.2036,0.0,,33315270.6782
2008-01-29,17.017,265.5492,5.2616,3.4595,8.9722,0.0,,32477536.1809
2008-01-30,18.1786,283.6757,5.6208,3.6956,9.5846,0.0,,34694467.7164
2008-01-31,18.6978,291.7783,5.7813,3.8012,9.8584,0.0,,35685446.329
2008-02-01,19.4258,303.1387,6.0064,3.9492,10.2422,0.0,,37074859.6416
2008-02-04,21.3636,333.3774,6.6056,4.3431,11.2639,0.0,,40773150.9588
2008-02-05,21.2405,331.4561,6.5675,4.3181,11.199,0.0,,40538176.6486
2008-02-13,20.8818,325.8595,6.4566,4.2452,11.0099,0.0,,39853686.2667
2008-02-14,21.3689,333.4609,6.6073,4.3442,11.2667,0.0,,40783367.2331
2008-02-15,20.9996,327.6972,6.4931,4.2691,11.072,0.0,,40078444.3025
2008-02-18,21.7222,338.974,6.7165,4.416,11.453,0.0,,41457641.3407
2008-02-19,21.7597,339.5588,6.7281,4.4236,11.4728,0.0,,41529155.2612
2008-02-20,20.8497,325.3583,6.4467,4.2386,10.993,0.0,,39792388.6205
2008-02-21,19.9504,311.3248,6.1686,4.0558,10.5188,0.0,,38076054.5285
2008-02-22,19.2706,300.7162,5.9584,3.9176,10.1604,0.0,,36778587.6852
2008-02-25,19.7309,307.9,6.1008,4.0112,10.4031,0.0,,37657187.2799
2008-02-26,19.5329,304.8093,6.0395,3.9709,10.2987,0.0,,37279185.1287
2008-02-27,20.1806,314.9167,6.2398,4.1026,10.6402,0.0,,38515354.3259
2008-02-28,19.7577,308.3177,6.1091,4.0166,10.4172,0.0,,37708268.6517
2008-02-29,19.6239,306.2294,6.0677,3.9894,10.3467,0.0,,37452861.7928
2008-03-03,19.9183,310.8237,6.1587,4.0493,10.5019,0.0,,38014756.8824
2008-03-04,20.0735,313.2461,6.2067,4.0809,10.5837,0.0,,38311028.8388
2008-03-05,19.5757,305.4776,6.0528,3.9796,10.3212,0.0,,37360915.3235
2008-03-06,19.7363,307.9836,6.1024,4.0123,10.4059,0.0,,37667403.5543
2008-03-07,19.9504,311.3248,6.1686,4.0558,10.5188,0.0,,38076054.5285
2008-03-10,18.6925,291.6948,5.7797,3.8001,9.8556,0.0,,35675230.0546
2008-03-11,18.0715,282.005,5.5877,3.6739,9.5282,0.0,,34490142.2292
2008-03-12,17.4613,272.4823,5.399,3.5498,9.2064,0.0,,33325486.9525
2008-03-13,16.8618,263.1267,5.2136,3.4279,8.8903,0.0,,32181264.2246
2008-03-14,16.6583,259.9525,5.1507,3.3866,8.7831,0.0,,31793045.799
2008-03-17,16.3853,255.6923,5.0663,3.3311,8.6391,0.0,,31272015.8068
2008-03-18,15.2238,237.5658,4.7072,3.0949,8.0267,0.0,,29055084.2713
2008-03-19,15.2023,237.2317,4.7006,3.0906,8.0154,0.0,,29014219.1739
2008-03-20,15.0739,235.2269,4.6608,3.0644,7.9477,0.0,,28769028.5893
2008-03-21,15.7644,246.0026,4.8743,3.2048,8.3118,0.0,,30086927.9814
2008-03-24,14.5011,226.289,4.4837,2.948,7.6457,0.0,,27675887.2331
2008-03-25,14.6082,227.9596,4.5168,2.9698,7.7021,0.0,,27880212.7203
2008-03-26,14.6242,228.2102,4.5218,2.973,7.7106,0.0,,27910861.5433
2008-03-27,14.0515,219.2723,4.3447,2.8566,7.4086,0.0,,26817720.1871
2008-03-28,14.9401,233.1386,4.6195,3.0372,7.8771,0.0,,28513621.7304
2008-03-31,14.2495,222.363,4.4059,2.8969,7.513,0.0,,27195722.3383
2008-04-01,13.4145,209.3319,4.1477,2.7271,7.0728,0.0,,25601983.5386
2008-04-02,13.9069,217.0169,4.3,2.8272,7.3324,0.0,,26541880.7795
2008-04-03,14.8009,230.9668,4.5764,3.0089,7.8037,0.0,,28247998.5971
2008-04-07,15.6895,244.8331,4.8512,3.1896,8.2722,0.0,,29943900.1404
2008-04-08,15.6252,243.8308,4.8313,3.1765,8.2384,0.0,,29821304.8481
2008-04-09,14.3405,223.783,4.4341,2.9154,7.561,0.0,,27369399.0024
2008-04-10,14.5172,226.5396,4.4887,2.9513,7.6542,0.0,,27706536.0562
2008-04-11,14.4476,225.4537,4.4672,2.9371,7.6175,0.0,,27573724.4895
2008-04-14,13.4038,209.1649,4.1444,2.7249,7.0671,0.0,,25581550.9899
2008-04-15,13.65,213.0073,4.2206,2.775,7.1969,0.0,,26051499.6104
2008-04-16,13.0076,202.9835,4.022,2.6444,6.8583,0.0,,24825546.6875
2008-04-17,12.4938,194.9644,3.8631,2.5399,6.5873,0.0,,23844784.3492
2008-04-18,12.3546,192.7925,3.82,2.5116,6.5139,0.0,,23579161.216
2008-04-21,12.3813,193.2102,3.8283,2.5171,6.528,0.0,,23630242.5877
2008-04-22,13.6179,212.5061,4.2106,2.7685,7.18,0.0,,25990201.9642
