trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
2000-11-06,84.5899,73.6962,6.477,7.1191,5.7185,,,343783.4132
2000-11-07,84.0836,73.2551,6.4383,7.0765,5.6843,,1.5054,341725.71
2000-11-08,84.3006,73.4442,6.4549,7.0948,5.6989,,1.5015,342607.5828
2000-11-09,84.8792,73.9483,6.4992,7.1435,5.738,,1.4913,344959.2436
2000-11-10,84.1921,73.3497,6.4466,7.0856,5.6916,,1.5034,342166.6464
2000-11-13,84.6984,73.7908,6.4853,7.1283,5.7258,,1.4944,344224.3496
2000-11-14,86.5428,75.3976,6.6266,7.2835,5.8505,,1.4626,351720.2684
2000-11-15,86.7236,75.5552,6.6404,7.2987,5.8627,,1.4595,352455.1624
2000-11-16,87.1576,75.9333,6.6736,7.3352,5.8921,,1.4523,354218.908
2000-11-17,86.7236,75.5552,6.6404,7.2987,5.8627,,1.4595,352455.1624
2000-11-20,86.362,75.2401,6.6127,7.2683,5.8383,,1.4657,350985.3744
2000-11-21,86.7236,75.5552,6.6404,7.2987,5.8627,,1.4595,352455.1624
2000-11-22,87.3384,76.0908,6.6875,7.3504,5.9043,,1.4493,354953.802
2000-11-23,88.0617,76.721,6.7429,7.4113,5.9532,,1.4374,357893.378
2000-11-24,85.6387,74.61,6.5573,7.2074,5.7894,,1.478,348045.7984
2000-11-27,85.928,74.862,6.5795,7.2317,5.8089,,1.4731,349221.6288
2000-11-28,86.8321,75.6497,6.6487,7.3078,5.8701,,1.4577,352896.0988
2000-11-29,87.4469,76.1853,6.6958,7.3596,5.9116,,1.4475,355394.7384
2000-11-30,90.1593,78.5484,6.9035,7.5879,6.095,,1.4039,366418.1484
2000-12-01,90.0147,78.4224,6.8924,7.5757,6.0852,,1.4062,365830.2332
2000-12-04,90.1593,78.5484,6.9035,7.5879,6.095,,1.4039,366418.1484
2000-12-05,89.9785,78.3909,6.8896,7.5726,6.0828,,1.4068,365683.2544
2000-12-06,89.7253,78.1703,6.8703,7.5513,6.0657,,1.4107,364654.4028
2000-12-07,89.7615,78.2018,6.873,7.5544,6.0681,,1.4102,364801.3816
2000-12-08,87.6639,76.3744,6.7124,7.3778,5.9263,,1.4439,356276.6112
2000-12-11,86.0365,74.9565,6.5878,7.2409,5.8163,,1.4712,349662.5652
2000-12-12,85.1685,74.2004,6.5213,7.1678,5.7576,,1.4862,346135.074
