trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
2007-04-27,60.3241,57.6001,5.9304,3.6271,3.4177,,,224183.84
2007-04-30,64.6185,61.7006,6.3525,3.8853,3.661,,,240143.2
2007-05-08,62.6739,59.8438,6.1614,3.7683,3.5508,,,232916.32
2007-05-09,59.6962,57.0005,5.8686,3.5893,3.3821,,,221850.16
2007-05-10,58.9062,56.2462,5.791,3.5418,3.3374,,,218914.24
2007-05-11,59.7569,57.0586,5.8746,3.593,3.3856,,,222076.0
2007-05-14,58.8454,56.1882,5.785,3.5381,3.3339,,,218688.4
2007-05-15,59.7367,57.0392,5.8726,3.5917,3.3844,,,222000.72
2007-05-16,60.9723,58.2191,5.9941,3.666,3.4544,,,226592.8
2007-05-17,60.9521,58.1997,5.9921,3.6648,3.4533,,,226517.52
2007-05-18,67.0493,64.0216,6.5915,4.0314,3.7987,,,249176.8
2007-05-21,68.4673,65.3756,6.7309,4.1167,3.8791,,,254446.4
2007-05-22,67.2519,64.2151,6.6114,4.0436,3.8102,,,249929.6
2007-05-23,66.8062,63.7895,6.5676,4.0168,3.785,,,248273.44
2007-05-24,64.7806,61.8553,6.3685,3.895,3.6702,,,240745.44
2007-05-25,66.6644,63.6541,6.5537,4.0083,3.7769,,,247746.48
2007-05-28,67.1101,64.0797,6.5975,4.0351,3.8022,,,249402.64
2007-05-29,68.0621,64.9887,6.6911,4.0923,3.8561,,,252940.8
2007-05-30,61.3775,58.6059,6.0339,3.6904,3.4774,,,228098.4
2007-05-31,62.1877,59.3796,6.1136,3.7391,3.5233,,,231109.6
2007-06-01,60.9723,58.2191,5.9941,3.666,3.4544,,,226592.8
2007-06-04,55.9284,53.4029,5.4982,3.3628,3.1687,,,207848.08
2007-06-05,57.0831,54.5054,5.6117,3.4322,3.2341,,,212139.04
2007-06-06,57.1438,54.5635,5.6177,3.4358,3.2375,,,212364.88
2007-06-08,62.8562,60.0179,6.1793,3.7793,3.5612,,,233593.84
2007-06-11,66.239,63.248,6.5118,3.9827,3.7528,,,246165.6
2007-06-12,66.7455,63.7315,6.5616,4.0131,3.7815,,,248047.6
2007-06-13,68.2647,65.1821,6.711,4.1045,3.8676,,,253693.6
