trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
2003-10-09,63.371,63.371,3.6467,8.7815,8.7815,,,88235.49
2003-10-10,64.7951,64.7951,3.7286,8.9788,8.9788,,,90218.31
2003-10-13,67.4907,67.4907,3.8837,9.3523,9.3523,,,93971.505
2003-10-14,68.457,68.457,3.9393,9.4862,9.4862,,,95316.99
2003-10-15,67.2364,67.2364,3.8691,9.3171,9.3171,,,93617.43
2003-10-16,66.7786,66.7786,3.8428,9.2537,9.2537,,,92980.095
2003-10-17,67.2872,67.2872,3.872,9.3241,9.3241,,,93688.245
2003-10-20,66.8804,66.8804,3.8486,9.2678,9.2678,,,93121.725
2003-10-21,69.0673,69.0673,3.9745,9.5708,9.5708,,,96166.77
2003-10-22,70.2371,70.2371,4.0418,9.7329,9.7329,,,97795.515
2003-10-23,70.5931,70.5931,4.0623,9.7822,9.7822,,,98291.22
2003-10-24,68.6096,68.6096,3.9481,9.5074,9.5074,,,95529.435
2003-10-27,65.1003,65.1003,3.7462,9.0211,9.0211,,,90643.2
2003-10-28,64.9986,64.9986,3.7403,9.007,9.007,,,90501.57
2003-10-29,63.5236,63.5236,3.6555,8.8026,8.8026,,,88447.935
2003-10-30,63.5236,63.5236,3.6555,8.8026,8.8026,,,88447.935
2003-10-31,64.3882,64.3882,3.7052,8.9224,8.9224,,,89651.79
2003-11-03,64.8968,64.8968,3.7345,8.9929,8.9929,,,90359.94
2003-11-04,65.3546,65.3546,3.7608,9.0563,9.0563,,,90997.275
2003-11-05,63.9305,63.9305,3.6789,8.859,8.859,,,89014.455
2003-11-06,59.5566,59.5566,3.4272,8.2529,8.2529,,,82924.365
2003-11-07,59.0988,59.0988,3.4008,8.1895,8.1895,,,82287.03
2003-11-10,57.217,57.217,3.2925,7.9287,7.9287,,,79666.875
2003-11-11,57.7765,57.7765,3.3247,8.0062,8.0062,,,80445.84
2003-11-12,57.1153,57.1153,3.2867,7.9146,7.9146,,,79525.245
2003-11-13,57.9799,57.9799,3.3364,8.0344,8.0344,,,80729.1
2003-11-14,58.1834,58.1834,3.3482,8.0626,8.0626,,,81012.36
2003-11-17,57.9291,57.9291,3.3335,8.0274,8.0274,,,80658.285
2003-11-18,57.4713,57.4713,3.3072,7.9639,7.9639,,,80020.95
2003-11-19,60.0143,60.0143,3.4535,8.3163,8.3163,,,83561.7
2003-11-20,64.9477,64.9477,3.7374,8.9999,8.9999,,,90430.755
2003-11-21,61.2858,61.2858,3.5267,8.4925,8.4925,,,85332.075
2003-11-24,64.7443,64.7443,3.7257,8.9718,8.9718,,,90147.495
2003-11-25,63.5745,63.5745,3.6584,8.8097,8.8097,,,88518.75
2003-11-26,63.1167,63.1167,3.632,8.7462,8.7462,,,87881.415
2003-11-27,62.9133,62.9133,3.6203,8.718,8.718,,,87598.155
2003-11-28,63.015,63.015,3.6262,8.7321,8.7321,,,87739.785
2003-12-01,64.2865,64.2865,3.6994,8.9083,8.9083,,,89510.16
2003-12-02,64.1339,64.1339,3.6906,8.8872,8.8872,,,89297.715
2003-12-03,64.1339,64.1339,3.6906,8.8872,8.8872,,,89297.715
2003-12-04,66.7278,66.7278,3.8398,9.2466,9.2466,,,92909.28
2003-12-05,65.2529,65.2529,3.755,9.0422,9.0422,,,90855.645
2003-12-08,63.7271,63.7271,3.6672,8.8308,8.8308,,,88731.195
2003-12-09,64.7443,64.7443,3.7257,8.9718,8.9718,,,90147.495
2003-12-10,64.6934,64.6934,3.7228,8.9647,8.9647,,,90076.68
2003-12-11,65.0494,65.0494,3.7433,9.014,9.014,,,90572.385
2003-12-12,65.558,65.558,3.7725,9.0845,9.0845,,,91280.535
2003-12-15,65.9649,65.9649,3.7959,9.1409,9.1409,,,91847.055
2003-12-16,66.1683,66.1683,3.8076,9.1691,9.1691,,,92130.315
2003-12-17,65.2529,65.2529,3.755,9.0422,9.0422,,,90855.645
2003-12-19,62.7607,62.7607,3.6116,8.6969,8.6969,,,87385.71
2003-12-22,64.3882,64.3882,3.7052,8.9224,8.9224,,,89651.79
2003-12-23,64.49,64.49,3.7111,8.9365,8.9365,,,89793.42
2003-12-24,63.9305,63.9305,3.6789,8.859,8.859,,,89014.455
2003-12-25,64.5917,64.5917,3.7169,8.9506,8.9506,,,89935.05
2003-12-26,66.8295,66.8295,3.8457,9.2607,9.2607,,,93050.91
